langcode,title,field_a2zpublisher,field_a2zsubject,field_a2zurl,field_author,field_isbn,field_vol,field_year
,Functional  Materials,De Gruyter,"Functional and Smart Materials , Functional and Smart Materials",http://www.degruyter.com/isbn/9783110307825,"Leclerc, Mario / Gauvin, Robert",9783110307825,,2014
,Functional Analysis,American Mathematical Society,Mathematics,https://www.ams.org/books/gsm/066/,Yuli Eidelman; Vitali Milman; Antonis Tsolomitis,9781470411503,,2010
,Functional Analysis,De Gruyter,Analysis,http://www.degruyter.com/isbn/9783110441925,"Rafeiro, Humberto / Chacón, Gerardo / Vallejo, Juan Camilo",9783110441925,,2017
,Functional Analysis,PHI,Mathematics,https://elibrary.phindia.com/ebooks/reader/9789390544011,"Nair, M. Thamban",9789390544011,2nd ed.,2024
,Functional Analysis,Wiley India,Sciences,https://ebooks.wileyindia.com/product-details/281988,Lax,9788126596096,,2020
,Functional Analysis and Applications,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0057538,Leopoldo Nachbin,9783540383420,384,1974
,Functional Analysis and its Applications,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0063562,"H. G. Garnir, K. R. Unni, J. H. Williamson",9783540378273,399,1974
,Functional Analysis and Operator Theory,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0093791,"B. S. Yadav, D. Singh",9783540470410,1511,1992
,"Functional Analysis and Related Topics, 1991",Springer,Mathematics,http://dx.doi.org/10.1007/BFb0085469,Hikosaburo Komatsu,9783540475651,1540,1993
,Functional Analysis II,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0072440,"Davor Butković, Svetozar Kurepa, Hrvoje Kraljević",9783540478768,1242,1987
,Functional Analysis in Markov Processes,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0093034,M. Fukushima,9783540391555,923,1982
,Functional Analysis Methods in Numerical Analysis,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0062071,M. Zuhair Nashed,9783540355304,701,1979
,Functional Analysis with Applications,De Gruyter,Analysis,http://www.degruyter.com/isbn/9783110657722,"Georgiev, Svetlin G. / Zennir, Khaled",9783110657722,,2019
,"Functional Analysis, Holomorphy, and Approximation Theory",Springer,Mathematics,http://dx.doi.org/10.1007/BFb0089265,Silvio Machado,9783540385295,843,1981
,"Functional Analysis: Proceedings of a Conference Held at Dubrovnik, Yugoslavia",Springer,Mathematics,http://dx.doi.org/10.1007/BFb0069839,"Davor Butković, Hrvoje Kraljević, Svetozar Kurepa",9783540393566,948,1982
,Functional Analysis: Proceedings of the Seminar at the University of Texas at Austin 1987–89,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0090208,"Edward E. Odwell, Haskell P. Rosenthal",9783540474937,1470,1991
,"Functional Analysis: Proceedings of the Seminar at the University of Texas at Austin, 1986–87",Springer,Mathematics,http://dx.doi.org/10.1007/BFb0081607,"Edward W. Odell, Haskell P. Rosenthal",9783540458920,1332,1988
,Functional and Logic Programming,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-59025-3,"Keisuke Nakano, Konstantinos Sagonas",9783030590253,,2020
,Functional Brain Mapping: Methods and Aims,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-981-15-6883-1,"Vassiliy Tsytsarev, Vicky Yamamoto, Ning Zhong",9789811568831,,2020
,Functional Ceramics Through Mechanochemical Activation,Institute of Physics Publishing ,"Physcis , Classical physics",https://iopscience.iop.org/book/978-0-7503-2191-4,"Kong, D L B",9780750321891,,2020
,Functional Coatings - By Polymer Microencapsulation,Wiley,"Physical Sciences & Engineering, Materials Science",https://onlinelibrary.wiley.com/doi/book/10.1002/3527608478,Ghosh,9783527608478,,2006
,Functional Differential Equations and Approximation of Fixed Points,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0064306,"Heinz-Otto Peitgen, Hans-Otto Walther",9783540351290,730,1979
,Functional Differential Equations and Bifurcation,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0089305,Antonio Fernandes Izé,9783540392514,799,1980
,Functional Differential Equations with Infinite Delay,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0084432,"Yoshiyuki Hino, Satoru Murakami, Toshiki Naito",9783540473886,1473,1991
,Functional Hybrid Materials,Wiley,"Physical Sciences & Engineering, Nanotechnology",https://onlinelibrary.wiley.com/doi/book/10.1002/3527602372,Gómez-Romero,9783527602377,,2004
,"Functional Programming Languages and Computer Architecture: 5th ACM Conference Cambridge, MA, USA",Springer,Computer Science,http://dx.doi.org/10.1007/3-540-54396-1,John Hughes,9783540475996,523,1991
,"Functional Programming Languages and Computer Architecture: Nancy, France",Springer,Computer Science,http://dx.doi.org/10.1007/3-540-15975-4,Jean-Pierre Jouannaud,9783540396772,201,1985
,"Functional Programming Languages and Computer Architecture: Portland, Oregon, USA",Springer,Computer Science,http://dx.doi.org/10.1007/3-540-18317-5,Gilles Kahn,9783540478799,274,1987
,"Functional Programming, Concurrency, Simulation and Automated Reasoning",Springer,Computer Science,http://dx.doi.org/10.1007/3-540-56883-2,Peter E. Lauer,9783540477761,693,1993
,Functional Textiles for Improved Performance Protection and Health,Woodhead Publishing,Materials Science ,https://www.sciencedirect.com/science/book/9781845697235,"Pan, N",,,2011
,Functional-Analytic Methods for Partial Differential Equations,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0084893,"Hiroshi Fujita, Teruo Ikebe, Shige Toshi Kuroda",9783540468189,1450,1990
,Functions of One Complex Variable II,Springer Nature,Mathematics and Statistics,https://doi.org/10.1007/978-1-4612-0817-4,John B. Conway,9781461208174,,1995
,Functions of Several Complex Variables and Their Singularities,American Mathematical Society,Mathematics,https://www.ams.org/books/gsm/083/,Wolfgang Ebeling,9781470421137, ,2007
,Functors and Categories of Banach Spaces,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0067828,Peter W. Michor,9783540358473,651,1978
,Fundamental Algorithms for Permutation Groups,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-54955-2,G. Butler,9783540466079,559,1991
,Fundamental Biomechanics in Bone Tissue Engineering,Synthesis Collection of Technology (R0),Bioengineering,https://doi.org/10.1007/978-3-031-02579-2,"Xiaodu Wang, Jeffrey Nyman, Xuanliang Dong, Huijie Leng, Michael Reyes",9783031025792,,2010
,Fundamentals and Applications of Lithium-ion Batteries in Electric Drive Vehicles,Wiley India,Engineering,https://ebooks.wileyindia.com/product-details/470744,Jiuchun Jiang and Caiping Zhang,9789357468565,,2024
,Fundamentals and Applications of Nanophotonics,Woodhead Publishing,Materials Science ,https://www.sciencedirect.com/science/book/9781782424642,"Haus, Joseph W.",,,2016
,Fundamentals of Acoustic Waves and Applications,Synthesis Collection of Technology (R0),Molecular and Atomic Physics,https://doi.org/10.1007/978-3-031-48200-7,Sanichiro Yoshida,9783031482007,,2024
,Fundamentals of Air Pollution,CBS Publishers,Civil Engineering,https://eduport-global.com/product/fundamentals-air-pollution50113668,B.S.N. Raju,9789388178273,,2020
,Fundamentals of Analysis for Talented Freshmen,Synthesis Collection of Technology (R0),"Computing and Processing, General Topics for Engineers",https://doi.org/10.1007/978-3-031-02409-2,"Peter M. Luthy, Guido L. Weiss, Steven S. Xiao",9783031024092,,2016
,Fundamentals of Artificial Intelligence,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-81-322-3972-7,K.R. Chowdhary,9788132239727,,2020
,Fundamentals of Artificial Intelligence,Springer,Computer Science,http://dx.doi.org/10.1007/BFb0022678,"Wolfgang Bibel, Philippe Jorrand",9783540398752,232,1986
