langcode,title,field_a2zpublisher,field_a2zsubject,field_a2zurl,field_author,field_isbn,field_vol,field_year
,Programming Methodology,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-07131-8,Clemens E. Hackl,9783540374015,23,1975
,Programming Symposium,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-06859-7,B. Robinet,9783540378198,19,1974
,Programming the ARM® Cortex®-M4-based STM32F4 Microcontrollers with Simulink®,Synthesis Collection of Technology (R0),Computer Hardware,https://doi.org/10.1007/978-3-031-79927-3,"Farzin Asadi, Sawai Pongswatd",9783031799273,,2022
,Programming with Java,McGraw Hill,Computer Science,https://resolver.vitalsource.com/9789355325907,E. Balagurusamy,,7th ed.,2024
,Programs as Data Objects,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-16446-4,"Harald Ganzinger, Neil D. Jones",9783540397861,217,1986
,Progress in Applications of Boolean Functions,Synthesis Collection of Technology (R0),"Components, Circuits, Devices and Systems",https://doi.org/10.1007/978-3-031-79812-2,"Tsutomu Sasao, Jon Butler",9783031798122,,2010
,"Progress in Artificial Intelligence: 6th Portuguese Conference on AI, EPIA '93 Porto, Portugal",Springer,Computer Science,http://dx.doi.org/10.1007/3-540-57287-2,"Miguel Filgueiras, Luís Damas",9783540480365,727,1993
,"Progress in Artificial Intelligence: 7th Portuguese Conference on Artificial Intelligence, EPIA '95 Funchal, Madeira Island, Portugal",Springer,Computer Science,http://dx.doi.org/10.1007/3-540-60428-6,"Carlos Pinto-Ferreira, Nuno J. Mamede",9783540455950,990,1995
,Progress in Case-Based Reasoning,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-60654-8,Ian D. Watson,9783540485254,1020,1995
,Progress in Cryptology -  AFRICACRYPT 2020,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-51938-4,"Abderrahmane Nitaj, Amr Youssef",9783030519384,,2020
,Progress in Cryptology –  INDOCRYPT 2020,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-65277-7,"Karthikeyan Bhargavan, Elisabeth Oswald, Manoj Prabhakaran",9783030652777,,2020
,Progress in Distributed Operating Systems and Distributed Systems Management,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-52609-9,"Wolfgang Schröder-Preikschat, Wolfgang Zimmer",9783540470748,433,1990
,Progress in Evolutionary Computation,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-60154-6,Xin Yao,9783540495284,956,1995
,Progress in Numerical Fluid Dynamics,Springer,Physics,http://dx.doi.org/10.1007/3-540-07408-2,H. J. Wirz,9783540379263,41,1975
,Progress of Seismology of the Sun and Stars,Springer,Physics,http://dx.doi.org/10.1007/3-540-53091-6,"Y. Osaki, H. Shibahashi",9783540466451,367,1990
,Project Management : A Life Cycle Approach,PHI,Mechanical,https://elibrary.phindia.com/ebooks/reader/9789354432835,"Kanda, Arun",9789354432835,,2016
,Project Management for Engineering Design,Synthesis Collection of Technology (R0),General Topics for Engineers,https://doi.org/10.1007/978-3-031-79303-5,"Charles Lessard, Joseph Lessard",9783031793035,,2007
,"Project risk analysis: techniques for forecasting funding requirements, costs and timescales",Routledge,"Business, Management","http://www.taylorfrancis.com/books/Business, Management","Salkeld, Derek",9781315602479,,2013
,Project risk and opportunity management : The owner's perspective ,Routledge,Building and Construction,http://www.taylorfrancis.com/books/Building and Construction,Agnar Johnsen ...(et al.),9780429430589,,2019
,Projective Varieties and Modular Forms,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0071041,Martin Eichler,9783540368694,210,1971
,Prompt,Birkhäuser,Design,http://www.degruyter.com/isbn/9783035610604,"Glass, Tamie",9783035610604,,2019
,Proof Theory,Springer,Mathematics,http://dx.doi.org/10.1007/978-3-540-46825-7,Wolfram Pohlers,9783540468257,1407,1989
,Proof Theory and Intuitionistic Systems,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0068783,Bruno Scarpellini,9783540368755,212,1971
,Proofs and Refutations,Cambridge University Press,"Mathematics,Philosophy, Philosophy of Science,Philosophy: General Interest,Recreational Mathematics",https://doi.org/10.1017/CBO9781316286425,Lakatos/Worrall/Zahar,9781316286425,,2012
,Proofs from THE BOOK,Springer Nature,Mathematics and Statistics,https://doi.org/10.1007/978-3-662-57265-8,"Martin Aigner, Günter M. Ziegler",9783662572658,6th ed. ,2018
,Propagation des Singularités des Solutions d’Equations Pseudo-Différentielles à Caractéristiques de Multiplicités Variables,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0089183,Richard Lascar,9783540386582,856,1981
,Propagation of Singularities for Fuchsian Operators,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0065383,"Antonio Bove, Jeff E. Lewis, Cesare Parenti",9783540396093,984,1983
,Propensity Score Methods and Applications,SAGE Publications Ltd,Propensity Score,https://doi.org/10.4135/9781071814253,Leite,9781071814253,,2019
,Proper Forcing,Springer,Mathematics,http://dx.doi.org/10.1007/978-3-662-21543-2,Saharon Shelah,9783662215432,940,1982
,Properties of Infinite Dimensional Hamiltonian Systems,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0073665,"Paul Robert Chernoff, Jerrold Eldon Marsden",9783540372875,425,1974
,Prophets of Computing: Visions of Society Transformed by Computing,Association for Computing Machinery,Computer Science,https://doi.org/10.1145/3548585,Dick van Lente,9781450398176,,2023
,Propriétés Générales des Schémas en Groupes,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0058993,"A. Dold, B. Eckmann",9783540363361,151,1970
,Propriétés Spectrales des Algèbres de Banach,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0064204,Bernard Aupetit,9783540350422,735,1979
,Prospects in Complex Geometry,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0086186,"Junjiro Noguchi, Takeo Ohsawa",9783540473701,1468,1991
,Protective Armor Engineering Design,Taylor & Francis,"Engineering & Technology, Law, Physical Sciences, Chemical Engineering, Industrial Engineering & Manufacturing, Criminology - Law, Materials Science",www.taylorfrancis.com/books/9780429057236,"El Messiry , Magdi",9780429057236,,2019
,Protocols for Authentication and Key Establishment,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-662-58146-9,"Colin Boyd, Anish Mathuria, Douglas Stebila",9783662581469,,2020
,Prototype,Bloomsbury Design Library,Prototypes,https://doi.org/10.5040/9781350036031?locatt=label:secondary_bloomsburyVisualArts,Louise Valentine,9781350036031,,2014
,Provable and Practical Security,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-62576-4,"Khoa Nguyen, Wenling Wu, Kwok Yan Lam, Huaxiong Wang",9783030625764,,2020
,Provenance,Synthesis Collection of Technology (R0),Computing and Processing,https://doi.org/10.1007/978-3-031-79450-6,"Luc Moreau, Paul Groth",9783031794506,,2013
