langcode,title,field_a2zpublisher,field_a2zsubject,field_a2zurl,field_author,field_isbn,field_vol,field_year
,Discriminant Analysis,SAGE Publications Ltd,Discriminant Analysis,https://doi.org/10.4135/9781412983938,William R. Klecka,9781412983938,,1980
,Discrimination at Work : The Psychological and Organizational Bases ,Taylor & Francis ,Behavioral Sciences,http://www.taylorfrancis.com/books/Behavioral Sciences,Robert Dipboye & Adrienne Colella,9781410611567,,2005
,Discriminative Learning for Speech Recognition,Synthesis Collection of Technology (R0),Signal Processing and Analysis,https://doi.org/10.1007/978-3-031-02557-0,"Xiadong He, Li Deng",9783031025570,,2008
,Discursive Psychology,SAGE Publications Ltd,Discursive Psychology,https://doi.org/10.4135/9781473983335,Sally Wiggins,9781473983335,,2016
,Disinformation in Open Online Media,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-39627-5,"Christian Grimme, Mike Preuss, Frank W. Takes, Annie Waldherr",9783030396275,,2020
,Disinformation in Open Online Media,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-61841-4,"Max van Duijn, Mike Preuss, Viktoria Spaiser, Frank Takes, Suzan Verberne",9783030618414,,2020
,"Disinformation, Misinformation, and Fake News in Social Media",Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-42699-6,"Kai Shu, Suhang Wang, Dongwon Lee, Huan Liu",9783030426996,,2020
,Disks and Outflows Around Young Stars,Springer,Physics,http://dx.doi.org/10.1007/BFb0102622,"Steven Beckwith, Jakob Staude, Axel Quetz, Antonella Natta",9783540685111,465,1996
,Disordered Systems and Localization,Springer,Physics,http://dx.doi.org/10.1007/BFb0012537,"Claudio Castellani, Carlo Castro, Luca Peliti",9783540386360,149,1981
,Disruptive Fourth Industrial Revolution,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-48230-5,"Wesley Doorsamy, Babu Sena Paul, Tshilidzi Marwala",9783030482305,,2020
,"Distributed Algorithms: 10th International Workshop, WDAG '96 Bologna",Springer,Computer Science,http://dx.doi.org/10.1007/3-540-61769-8,"Özalp Babaoğlu, Keith Marzullo",9783540706793,1151,1996
,Distributed Algorithms: 2nd International Workshop Amsterdam,Springer,Computer Science,http://dx.doi.org/10.1007/BFb0019789,J. Leeuwen,9783540392392,312,1988
,Distributed Algorithms: 3rd International Workshop Nice,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-51687-5,"Jean-Claude Bermond, Michel Raynal",9783540467502,392,1989
,Distributed Algorithms: 4th International Workshop Bari,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-54099-7,"Jan Leeuwen, Nicola Santoro",9783540474050,486,1991
,"Distributed Algorithms: 5th International Workshop, WDAG '91 Delphi",Springer,Computer Science,http://dx.doi.org/10.1007/BFb0022433,"Sam Toueg, Paul G. Spirakis, Lefteris Kirousis",9783540467892,579,1992
,"Distributed Algorithms: 6th International Workshop, WDAG '92 Haifa",Springer,Computer Science,http://dx.doi.org/10.1007/3-540-56188-9,"Adrian Segall, Shmuel Zaks",9783540474845,647,1992
,"Distributed Algorithms: 7th International Workshop, WDAG'93 Lausanne",Springer,Computer Science,http://dx.doi.org/10.1007/3-540-57271-6,André Schiper,9783540480297,725,1993
,"Distributed Algorithms: 8th International Workshop, WDAG '1994 Terschelling",Springer,Computer Science,http://dx.doi.org/10.1007/BFb0020419,"Gerard Tel, Paul Vitányi",9783540487999,857,1994
,"Distributed Algorithms: 9th International Workshop, WDAG '95 Le Mont-Saint-Michel",Springer,Computer Science,http://dx.doi.org/10.1007/BFb0022134,"Jean-Michel Hélary, Michel Raynal",9783540447832,972,1995
,Distributed Applications and Interoperable Systems,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-50323-9,"Anne Remke, Valerio Schiavoni",9783030503239,,2020
,Distributed Artificial Intelligence,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-64096-5,"Matthew E. Taylor, Yang Yu, Edith Elkind, Yang Gao",9783030640965,,2020
,Distributed Artificial Intelligence Architecture and Modelling,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-61314-5,"Chengqi Zhang, Dickson Lukose",9783540684565,1087,1996
,Distributed Computer and Communication Networks,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-66471-8,"Vladimir M. Vishnevskiy, Konstantin E. Samouylov, Dmitry V. Kozyrev",9783030664718,,2020
,"Distributed Computer and Communication Networks: Control, Computation, Communications",Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-66242-4,"Vladimir M. Vishnevskiy, Konstantin E. Samouylov, Dmitry V. Kozyrev",9783030662424,,2020
,Distributed Computing and Internet Technology,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-36987-3,"Dang Van Hung, Meenakshi D´Souza",9783030369873,,2020
,Distributed Computing by Oblivious Mobile Robots,Synthesis Collection of Technology (R0),Computing and Processing,https://doi.org/10.1007/978-3-031-02008-7,"Paola Flocchini, Giuseppe Prencipe, Nicola Santoro",9783031020087,,2012
,Distributed Computing for Emerging Smart Networks,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-40131-3,"Imen Jemili, Mohamed Mosbah",9783030401313,,2020
,Distributed Computing for Emerging Smart Networks,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-65810-6,"Imen Jemili, Mohamed Mosbah",9783030658106,,2020
,Distributed Computing Pearls,Synthesis Collection of Technology (R0),Computing and Processing,https://doi.org/10.1007/978-3-031-02012-4,Gadi Taubenfeld,9783031020124,,2018
,Distributed Consensus in Multi-vehicle Cooperative Control,Springer Nature,Engineering,https://doi.org/10.1007/978-1-84800-015-5,"Wei Ren, Randal Beard",9781848000155,,2008
,Distributed Graph Analytics,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-41886-1,"Unnikrishnan Cheramangalath, Rupesh Nasre, Y. N. Srikant",9783030418861,,2020
,Distributed Graph Coloring,Synthesis Collection of Technology (R0),Computing and Processing,https://doi.org/10.1007/978-3-031-02009-4,"Leonid Barenboim, Michael Elkin",9783031020094,,2013
,Distributed Memory Computing,Springer,Computer Science,http://dx.doi.org/10.1007/BFb0032916,Arndt Bode,9783540464785,487,1991
,Distributed Network Structure Estimation Using Consensus Methods,Synthesis Collection of Technology (R0),"Communication, Networking and Broadcast Technologies, Components, Circuits, Devices and Systems, Computing and Processing",https://doi.org/10.1007/978-3-031-01684-4,"Sai Zhang, Cihan Tepedelenlioglu, Andreas Spanias, Mahesh Banavar",9783031016844,,2018
,Distributed Programming Paradigms with Cryptography Applications,Springer,Computer Science,http://dx.doi.org/10.1007/BFb0017590,Jonathan S. Greenfield,9783540490142,870,1994
