langcode,title,field_a2zpublisher,field_a2zsubject,field_a2zurl,field_author,field_isbn,field_vol,field_year
,Cross-Language Information Retrieval,Synthesis Collection of Technology (R0),Computing and Processing,https://doi.org/10.1007/978-3-031-02138-1,Jian-Yun Nie,9783031021381,,2010
,Cross-Layer Design for Secure and Resilient Cyber-Physical Systems,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-60251-2,"Quanyan Zhu, Zhiheng Xu",9783030602512,,2020
,Cross-Lingual Word Embeddings,Synthesis Collection of Technology (R0),Computing and Processing,https://doi.org/10.1007/978-3-031-02171-8,"Anders Søgaard, Ivan Vulić, Sebastian Ruder, Manaal Faruqui",9783031021718,,2019
,Crossover-Time in Quantum Boson and Spin Systems,Springer,Physics,http://dx.doi.org/10.1007/978-3-540-48415-8,"Gennady P. Berman, Evgeny N. Bulgakov, Darryl D. Holm",9783540484158,21,1994
,Crowd Dynamics by Kinetic Theory Modeling,Synthesis Collection of Technology (R0),"Computing and Processing, General Topics for Engineers, Robotics and Control Systems",https://doi.org/10.1007/978-3-031-02428-3,"Bouchra Aylaj, Nicola Bellomo, Livio Gibelli, Damián Knopoff",9783031024283,,2021
,Cryptographic Obfuscation,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-319-98041-6,"Máté Horváth, Levente Buttyán",9783319980416,,2020
,Cryptographic Security Architecture,Springer New York,"Cryptology, Computer Hardware, Coding and Information Theory",http://link.springer.com/10.1007/b97264,"Gutmann, Peter ",9780387215518,,2004
,Cryptography,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-39466-4,Thomas Beth,9783540394662,149,1983
,Cryptography and Coding,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-60693-9,Colin Boyd,9783540492801,1025,1995
,Cryptography and Network Security,McGraw Hill,Computer Science,https://resolver.vitalsource.com/9789353163310/?brand=mcgrawhillindia.vitalsource.com  ,Kahate,,4th ed.,2019
,Cryptography Arithmetic,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-34142-8,Amos R. Omondi,9783030341428,,2020
,Cryptography: Policy and Algorithms,Springer,Computer Science,http://dx.doi.org/10.1007/BFb0032342,"Ed Dawson, Jovan Golić",9783540493631,1029,1995
,Cryptology and Network Security,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-65411-5,"Stephan Krenn, Haya Shulman, Serge Vaudenay",9783030654115,,2020
,Crystal Engineering — How molecules build solids,Institute of Physics Publishing ,"Physcis , Materials",https://iopscience.iop.org/book/978-1-6817-4625-8,"Williams, J H",9781681746241,,2016
,Crystals Associated to Barsotti-Tate Groups: with Applications to Abelian Schemes,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0058301,"A. Dold, B. Eckmann",9783540374756,264,1972
,CSL '87,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-50241-6,"Egon Börger, Hans Kleine Büning, Michael M. Richter",9783540459606,329,1988
,CSL '88,Springer,Computer Science,http://dx.doi.org/10.1007/BFb0026291,"Egon Börger, Hans Kleine Büning, Michael M. Richter",9783540467366,385,1989
,CSL '89,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-52753-2,"Egon Börger, Hans Kleine Büning, Michael M. Richter",9783540471370,440,1990
,Culturally Responsive Approaches to Evaluation,SAGE Publications Ltd,Social sciences-evaluation,https://doi.org/10.4135/9781506368559,Jill Chouinard,9781506368559,,2020
,Culture and Computing,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-50267-6,Matthias Rauterberg,9783030502676,,2020
,Culture of Animal Cells - A Manual of Basic Technique and Specialized Applications,Wiley,"Life Sciences, Cell & Molecular Biology",https://onlinelibrary.wiley.com/doi/book/10.1002/9780470649367,Freshney,9780470649367,6th ed.,2010
,Cultures in Human-Computer Interaction,Synthesis Collection of Technology (R0),Digital Humanities,https://doi.org/10.1007/978-3-031-30243-5,Sergio Sayago,9783031302435,,2023
,Cultures of Comics Work,Springer Nature,"Literature, Cultural and Media Studies",https://link.springer.com/openurl?genre=book&isbn=978-1-137-55090-3,"Casey Brienza, Paddy Johnston",9781137550903,,2016
,Curious Case of Usable Privacy,Synthesis Collection of Technology (R0),User Interface Design,https://doi.org/10.1007/978-3-031-54158-2,"Simone Fischer-Hübner, Farzaneh Karegar",9783031541582,,2024
,Current Induced Reactions,Springer,Physics,http://dx.doi.org/10.1007/3-540-07866-5,"J. G. Körner, G. Kramer, D. Schildknecht",9783540380979,56,1976
,Current Trends in Concurrency,Springer,Computer Science,http://dx.doi.org/10.1007/BFb0027037,"J. W. Bakker, W. -P. Roever, G. Rozenberg",9783540398271,224,1986
,Current Trends in Web Engineering,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-51253-8,"Marco Brambilla, Cinzia Cappiello, Siew Hock Ow",9783030512538,,2020
,Current Trends in Web Engineering,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-65665-2,"In-Young Ko, Juan Manuel Murillo, Petri Vuorimaa",9783030656652,,2020
,Cursive Script Text Recognition in Natural Scene Images,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-981-15-1297-1,"Saad Bin Ahmed, Muhammad Imran Razzak, Rubiyah Yusof",9789811512971,,2020
,Curvature and Characteristic Classes,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0065364,Johan L. Dupont,9783540359142,640,1978
,Curvature and Topology of Riemannian Manifolds,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0075643,"Katsuhiro Shiohama, Takashi Sakai, Toshikazu Sunada",9783540388272,1201,1986
,Curves and Surfaces,American Mathematical Society,Mathematics,https://www.ams.org/books/gsm/069/,Sebastian Montiel; Antonio Ros,9781470411510,2nd ed.,2009
