langcode,title,field_a2zpublisher,field_a2zsubject,field_a2zurl,field_author,field_isbn,field_vol,field_year
,Smart Textiles from Natural Resources,Woodhead Publishing,Engineering,https://www.sciencedirect.com/science/book/9780443154713,Ibrahim H Mondal,,,2024
,Smart Water Resource Management,Synthesis Collection of Technology (R0),Environmental Engineering/Biotechnology,https://doi.org/10.1007/978-3-031-60799-8,"Ana Cristina Faria Ribeiro, A. K. Haghi",9783031607998,,2025
,Smarter than Their Machines: Oral Histories of Pioneers in Interactive Computing,Association for Computing Machinery,History of Computing,https://dl.acm.org/citation.cfm?id=2663015,John Cullinane,9781627055529,,2014
,Smartphone-Based Real-Time Digital Signal Processing,Synthesis Collection of Technology (R0),"Computing and Processing, Signal Processing and Analysis",https://doi.org/10.1007/978-3-031-02537-2,"Nasser Kehtarnavaz, Shane Parris, Abhishek Sehgal",9783031025372,,2015
,Smartphone-Based Real-Time Digital Signal Processing,Synthesis Collection of Technology (R0),"Computing and Processing, Signal Processing and Analysis",https://doi.org/10.1007/978-3-031-02543-3,"Abhishek Sehgal, Shane Parris, Arian Azarang, Nasser Kehtarnavaz",9783031025433,3rd ed.,2020
,Smartphone-Based Real-Time Digital Signal Processing,Synthesis Collection of Technology (R0),"Computing and Processing, Signal Processing and Analysis",https://doi.org/10.1007/978-3-031-02540-2,"Nasser Kehtarnavaz, Abhishek Sehgal, Shane Parris",9783031025402,2nd ed.,2019
,SMath for Physics — A primer,Institute of Physics Publishing ,"Physcis , Mathematics and computation",https://iopscience.iop.org/book/978-1-6270-5925-1,"Liengme, B V",9781627059244,,2014
,Smooth Ergodic Theory of Random Dynamical Systems,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0094308,"Pei-Dong Liu, Min Qian",9783540492917,1606,1995
,Smooth S1 Manifolds,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0091045,"Wolf Iberkleid, Ted Petrie",9783540375517,557,1976
,Smoothing Techniques for Curve Estimation,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0098486,"Th. Gasser, M. Rosenblatt",9783540384755,757,1979
,Sobolev Spaces on Riemannian Manifolds,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0092907,Emmanuel Hebey,9783540699934,1635,1996
,Social Choice,SAGE Publications Ltd,Social Choice,https://doi.org/10.4135/9781412985840,Paul E Johnson,9781412985840,,1998
,"Social Computing and Social Media. Design, Ethics, User Behavior, and Social Network Analysis",Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-49570-1,Gabriele Meiselwitz,9783030495701,,2020
,"Social Computing and Social Media. Participation, User Experience, Consumer Experience,  and Applications of Social Computing",Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-49576-3,Gabriele Meiselwitz,9783030495763,,2020
,Social Computing with Artificial Intelligence ,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-981-15-7760-4,Xun Liang,9789811577604,,2020
,Social Informatics,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-60975-7,"Samin Aref, Kalina Bontcheva, Marco Braghieri, Frank Dignum, Fosca Giannotti, Francesco Grisolia, Dino Pedreschi",9783030609757,,2020
,Social Informatics Evolving,Synthesis Collection of Technology (R0),"Computing and Processing, General Topics for Engineers",https://doi.org/10.1007/978-3-031-02297-5,"Pnina Fichman, Madelyn R. Sanfilippo, Howard Rosenbaum",9783031022975,,2015
,"Social Marketing and Social Change: Strategies and Tools For Improving Health, Well - Being and the Environment",Wiley India,Management,https://ebooks.wileyindia.com/product-details/306863,Craig,9789354640643,,2022
,Social Measurement,SAGE Publications Ltd,"Social sciences, Methodology",https://doi.org/10.4135/9781412985857,Donald T. Campbell; M. Jean Russo,9781412985857,,2001
,Social Media and Civic Engagement,Synthesis Collection of Technology (R0),"Computing and Processing, General Topics for Engineers",https://doi.org/10.1007/978-3-031-02223-4,Scott Robertson,9783031022234,,2018
,Social Media and Library Services,Synthesis Collection of Technology (R0),Media and Communication,https://doi.org/10.1007/978-3-031-02292-0,Lorri Mon,9783031022920,,2015
,Social Media and Library Services,Synthesis Collection of Technology (R0),Media and Communication,https://doi.org/10.1007/978-3-031-71747-5,Lorri Mon,9783031717475,2nd ed.,2025
,Social Media Intelligence,Cambridge University Press,"Computer Science,Politics and International Relations, Research Methods In Politics,Computing and Society,Research Methods in Politics",https://doi.org/10.1017/CBO9781139381338,Moe/Schweidel,9781139381338,,2012
,Social Monitoring for Public Health,Synthesis Collection of Technology (R0),"Computing and Processing, General Topics for Engineers",https://doi.org/10.1007/978-3-031-02311-8,"Michael J. Paul, Mark Dredze",9783031023118,,2017
,Social Network Analysis,SAGE Publications Ltd,"Social networks, Research",https://doi.org/10.4135/9781412985864,David Knoke; Song Yang,9781412985864,2nd ed.,2008
,Social Network Analysis,SAGE Publications Ltd,"Social networks, Research",https://doi.org/10.4135/9781071802847,Wilson,9781071802847,,2017
,Social Network Analysis,SAGE Publications Ltd,"Social networks, Research",https://doi.org/10.4135/9781529716597,Yang,9781529716597,,2017
,Social Network Analysis,SAGE Publications Ltd,Social sciences-Networks,https://doi.org/10.4135/9781506389332,David Knoke,9781506389332,3rd ed.,2020
,Social Network Analysis,Wiley India,Engineering,https://ebooks.wileyindia.com/product-details/285492,Tanmoy Chakraborty,9789354248023,,2021
,Social Network Analysis and Education,SAGE Publications Ltd,"Social networks, Research",https://doi.org/10.4135/9781452270104,Brian V. Carolan,9781452270104,,2014
,Social Network Analysis for Ego-Nets,SAGE Publications Ltd,"Social networks, Research",https://doi.org/10.4135/9781473911871,Nick Crossley; Martin G Everett; Gemma Edwards; Elisa Bellotti; Johan Koskinen; Mark Tranmer,9781473911871,,2015
,Social Networks and Organizations,SAGE Publications Ltd,Organizational sociology,https://doi.org/10.4135/9781849209915,Wenpin Tsai; Martin Kilduff,9781849209915,,2003
,Social Psychophysiology for Social and Personality Psychology,SAGE Publications Ltd,Psychophysiology,https://doi.org/10.4135/9781446287842,Sally Dickerson; James J Blascovich; Eric Vanman; Wendy Berry Mendes,9781446287842,,2011
,Social Research,SAGE Publications Ltd,"Social sciences,  Research",https://doi.org/10.4135/9781849209922,Piergiorgio Corbetta,9781849209922,,2003
,Social Research,SAGE Publications Ltd,"Social sciences,  Research",https://doi.org/10.4135/9781526435415,Cate Curtis; Bruce Curtis,9781526435415,,2012
,Social Research and Reflexivity,SAGE Publications Ltd,"Social sciences, Research",https://doi.org/10.4135/9781446250372,Tim May; Beth Perry,9781446250372,,2011
,Social Research Methods,SAGE Publications Ltd,"Social sciences,  Research",https://doi.org/10.4135/9781849209939,Nicholas Walliman,9781849209939,,2006
,Social Robotics,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-62056-1,"Alan R. Wagner, David Feil-Seifer, Kerstin S. Haring, Silvia Rossi, Thomas Williams, Hongsheng He, Shuzhi Sam Ge",9783030620561,,2020
,Social Science Jargon Buster,SAGE Publications Ltd,"Social sciences, Dictionaries",https://doi.org/10.4135/9780857020147,Zina O'Leary,9780857020147,,2007
,Social Semantic Web Mining,Synthesis Collection of Technology (R0),"Computing and Processing, Communication, Networking and Broadcast Technologies, General Topics for Engineers",https://doi.org/10.1007/978-3-031-79459-9,"Tope Omitola, Sebastián A. Ríos, John G. Breslin",9783031794599,,2015
,Social Vulnerability to COVID-19,Synthesis Collection of Technology (R0),Computer Science,https://doi.org/10.1007/978-3-031-06897-3,"Xiaojun Yuan, Dan Wu, DeeDee Bennett Gayle",9783031068973,,2023
,Social Work Research,SAGE Publications Ltd,"Social service, Research",https://doi.org/10.4135/9780857024640,Martyn Jones; Heather D'Cruz,9780857024640,,2004
,Social Work Research Methods,SAGE Publications Ltd,Response Theory,https://doi.org/10.4135/9781506387215,Reginald York,9781506387215,,2020
,"Social, Cultural, and Behavioral Modeling",Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-61255-9,"Robert Thomson, Halil Bisgin, Christopher Dancy, Ayaz Hyder, Muhammad Hussain",9783030612559,,2020
,Socially Just Mining,Synthesis Collection of Technology (R0),"General Topics for Engineers, Geoscience",https://doi.org/10.1007/978-3-031-02117-6,"Jordan Aitken, Rita Armstrong, Vicki Bilro, Andy Fourie, Kylie Macpherson",9783031021176,,2020
,Societal Impacts of Algorithmic Decision-Making,Association for Computing Machinery,Applied Computing,https://dl.acm.org/doi/book/10.1145/3603195,Manish Raghavan,9798400708619,,2023
,Societal Impacts of Artificial Intelligence and Machine Learning,Synthesis Collection of Technology (R0),Artificial Intelligence,https://doi.org/10.1007/978-3-031-53747-9,Carlo Lipizzi,9783031537479,,2024
,Society with Future: Smart and Liveable Cities,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-45293-3,"Paulo Pereira, Rita Ribeiro, Ivo Oliveira, Paulo Novais",9783030452933,,2020
,Sociological Practice,SAGE Publications Ltd,"Sociology, Research",https://doi.org/10.4135/9781849209946,Derek Layder,9781849209946,,1998
,SOFSEM 2020: Theory and Practice of Computer Science,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-38919-2,"Alexander Chatzigeorgiou, Riccardo Dondi, Herodotos Herodotou, Christos Kapoutsis, Yannis Manolopoulos, George A. Papadopoulos, Florian Sikora",9783030389192,,2020
,SOFSEM '95: Theory and Practice of Informatics,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-60609-2,"Miroslav Bartosek, Jan Staudek, Jirí Wiedermann",9783540484639,1012,1995
,SOFSEM'96: Theory and Practice of Informatics,Springer,Computer Science,http://dx.doi.org/10.1007/BFb0037392,"Keith G. Jeffery, Jaroslav Král, Miroslav Bartošek",9783540495888,1175,1996
,"Soft Computing: Fundamentals, Techniques, and Applications",McGraw Hill,Computer Science,https://resolver.vitalsource.com/9789353160678/?brand=mcgrawhillindia.vitalsource.com  ,Kaushik,,,2018
,Soft Error Reliability Using Virtual Platforms,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-55704-1,"Felipe Rocha da Rosa, Luciano Ost, Ricardo Reis",9783030557041,,2020
,Software Architecture,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-58923-3,"Anton Jansen, Ivano Malavolta, Henry Muccini, Ipek Ozkaya, Olaf Zimmermann",9783030589233,,2020
,Software Architecture,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-59155-7,Henry Muccini…(et al.),9783030591557,,2020
,Software Configuration Management,Springer,Computer Science,http://dx.doi.org/10.1007/BFb0023076,Ian Sommerville,9783540477686,1167,1996
,Software Configuration Management: ICSE SCM-4 and SCM-5 Workshops Selected Papers,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-60578-9,Jacky Estublier,9783540477686,1005,1995
,Software Defined Radio - Baseband Technology for 3G Handsets and Basestations,Wiley,"Physical Sciences & Engineering, Electrical & Electronics Engineering",https://onlinelibrary.wiley.com/doi/book/10.1002/0470867728,Tuttlebee,9780470867723,,2004
,Software Defined Systems,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-32942-6,"Deze Zeng, Lin Gu, Shengli Pan, Song Guo",9783030329426,,2020
,"Software Design, Architecture and Engineering - 2021",PHI,Computer,https://elibrary.phindia.com/ebooks/reader/9789389347821,"Bhatt, Pramod Chandra P.",9789389347821,,2021
,Software Development Environments and CASE Technology,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-54194-2,"A. Endres, H. Weber",9783540474852,509,1991
,"Software Ecosystems, Sustainability and Human Values in the Social Web",Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-46130-0,"Rodrigo Pereira dos Santos, Cristiano Maciel, José Viterbo",9783030461300,,2020
,Software Engineering — ESEC '93,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-57209-0,"Ian Sommerville, Manfred Paul",9783540479727,717,1993
,Software Engineering — ESEC '95,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-60406-5,"Wilhelm Schäfer, Pere Botella",9783540455523,989,1995
,Software Engineering and Formal Methods,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-57506-9,"Javier Camara, Martin Steffen",9783030575069,,2020
,Software Engineering and Formal Methods,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-58768-0,"Frank de Boer, Antonio Cerone",9783030587680,,2020
,Software Engineering and Human-Computer Interaction,Springer,Computer Science,http://dx.doi.org/10.1007/BFb0035799,"Richard N. Taylor, Joëlle Coutaz",9783540491736,896,1995
,Software Engineering Aspects of Continuous Development and New Paradigms of Software Production and Deployment,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-39306-9,"Jean-Michel Bruel, Manuel Mazzara, Bertrand Meyer",9783030393069,,2020
,"Software Engineering Education: 7th SEI CSEE Conference San Antonio, Texas, USA",Springer,Computer Science,http://dx.doi.org/10.1007/BFb0017602,Jorge L. Díaz-Herrera,9783540481911,750,1993
,"Software Engineering Education: 8th SEI CSEE Conference New Orleans, LA, USA",Springer,Computer Science,http://dx.doi.org/10.1007/3-540-58951-1,Rosalind L. Ibrahim,9783540491675,895,1995
,"Software Engineering Education: ICSE'96 SCM-6 Workshop Berlin, Germany",Springer,Computer Science,http://dx.doi.org/10.1007/BFb0043582,Gary A. Ford,9780387347790,327,1988
