langcode,title,field_a2zpublisher,field_a2zsubject,field_a2zurl,field_author,field_isbn,field_vol,field_year
,Handbook of Science and Technology Convergence,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-319-04033-2,"William Sims Bainbridge, Mihail C. Roco",9783319040332,,2020
,Handbook of Science and Technology Studies,SAGE Publications Ltd,"Science, Technology",https://doi.org/10.4135/9781412990127,James C Peterson; Sheila Jasanoff; Trevor Pinch; Gerald E Markle,9781412990127,Revised ed.,1995
,Handbook of Sensor Networks: Algorithms and Architectures,Wiley,"Physical Sciences & Engineering, Electrical & Electronics Engineering",https://onlinelibrary.wiley.com/doi/book/10.1002/047174414X,Stojmenovic,9780471744146,,2005
,Handbook of Smart Cities,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-15145-4,Juan Carlos Augusto,9783030151454,,2020
,Handbook of Smart Textiles,Springer Nature,Chemistry and Materials Science,https://doi.org/10.1007/978-981-4451-45-1,Xiaoming Tao,9789814451451,,2015
,Handbook of Social Research Ethics,SAGE Publications Ltd,"Social sciences, Research",https://doi.org/10.4135/9781483348971,Donna M. Mertens; Pauline E. Ginsberg,9781483348971,,2009
,Handbook of Social Work Research Methods,SAGE Publications Ltd,"Social service, Research",https://doi.org/10.4135/9781412986182,Bruce Thyer,9781412986182,,2001
,Handbook of Social Work Research Methods,SAGE Publications Ltd,"Social service, Research",https://doi.org/10.4135/9781544364902,Bruce Thyer,9781544364902,2nd ed.,2009
,Handbook of Sodium-Ion Batteries,Taylor & Francis ,Physical Sciences,http://www.taylorfrancis.com/books/Physical Sciences,"George Zhao, Rohit R. Gaddam",9781003308744,,2022
,Handbook of Solar Energy,Springer Nature,Energy,https://doi.org/10.1007/978-981-10-0807-8,"G. N. Tiwari, Arvind Tiwari,  Shyam",9789811008078,,2016
,Handbook of Spectroscopy,Wiley,"Chemistry, Analytical Chemistry",https://onlinelibrary.wiley.com/doi/book/10.1002/9783527654703,Gauglitz,9783527654703,2nd ed.,2014
,Handbook of Sustainable Textile Production,Woodhead Publishing,Engineering ,https://www.sciencedirect.com/science/book/9780857091369,"Tobler-Rohr, M I",,,2011
,Handbook of Teaching Qualitative and Mixed Research Methods: A Step-by-Step Guide for Instructors,Routledge,Research Methods - Social Sciences,http://www.taylorfrancis.com/books/Research Methods - Social Sciences,"Alissa Ruth, Amber Wutich, H. Russell Bernard",9781003213277,,2024
,Handbook of the Arts in Qualitative Research,SAGE Publications Ltd,"Social sciences,  Research",https://doi.org/10.4135/9781452226545,J. Gary Knowles; Ardra L. Cole,9781452226545,,2008
,"Handbook of Thermoplastic Polyesters : Homopolymers, Copolymers, Blends and Composites",Wiley,Polymers,https://onlinelibrary.wiley.com/doi/book/10.1002/3527601961,Stoyko Fakirov,9783527601967,,2002
,Handbook of Visual Analysis,SAGE Publications Ltd,Visual communication,https://doi.org/10.4135/9780857020062,Theo Van Leeuwen; Carey Jewitt,9780857020062,,2001
,Handbook of Visual Culture,Bloomsbury Design Library,Design,https://doi.org/10.5040/9781474294140?locatt=label:secondary_bloomsburyVisualArts,Ian Heywood & Barry Sandywell,9781474294140,,2017
,"Handbook of Visual Optics, Vol. 1",Taylor & Francis,"Engineering & Technology, Medicine, Dentistry, Nursing & Allied Health, Electrical & Electronic Engineering, Medicine",www.taylorfrancis.com/books/9781315373034,"Artal , Pablo",9781315373034,,2017
,"Handbook of Visual Optics, Vol. 2",Taylor & Francis,"Engineering & Technology, Medicine, Dentistry, Nursing & Allied Health, Electrical & Electronic Engineering, Medicine",www.taylorfrancis.com/books/9781315373027,"Artal , Pablo",9781315373027,,2017
,Handbook of Yarn Production,Woodhead Publishing,Engineering,https://www.sciencedirect.com/science/book/9781855736962,"Lord, P R",,,2003
