langcode,title,field_a2zpublisher,field_a2zsubject,field_a2zurl,field_author,field_isbn,field_vol,field_year
,Intelligent Information Processing X,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-46931-3,"Zhongzhi Shi, Sunil Vadera, Elizabeth Chang",9783030469313,,2020
,Intelligent Macromolecules for Smart Devices,Springer London,"Polymer Sciences, Metallic Materials, Characterization and Evaluation of Materials",http://link.springer.com/10.1007/b97517,"Dai, Liming",9781852338497,,2004
,Intelligent Notification Systems,Synthesis Collection of Technology (R0),"Components, Circuits, Devices and Systems, Computing and Processing",https://doi.org/10.1007/978-3-031-02487-0,"Abhinav Mehrotra, Mirco Musolesi",9783031024870,,2020
,Intelligent Perceptual Systems,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-57379-8,Vito Roberto,9783540481034,745,1993
,Intelligent Robotics and Applications,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-66645-3,"Chee Seng Chan, Hong Liu, Xiangyang Zhu, Chern Hong Lim, Xinjun Liu, Lianqing Liu, Kam Meng Goh",9783030666453,,2020
,Intelligent Systems,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-61377-8,"Ricardo Cerri, Ronaldo C. Prati",9783030613778,,2020
,Intelligent Systems,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-61380-8,"Ricardo Cerri, Ronaldo C. Prati",9783030613808,,2020
,Intelligent Systems and Methods to Combat Covid-19,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-981-15-6572-4,"Amit Joshi, Nilanjan Dey, K. C. Santosh",9789811565724,,2020
,Intelligent Technologies and Applications,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-981-15-5232-8,"Imran Sarwar Bajwa, Tatjana Sibalija, Dayang Norhayati Abang Jawawi",9789811552328,,2020
,Intelligent Tire Systems,Synthesis Collection of Technology (R0),Mechanical Engineering,https://doi.org/10.1007/978-3-031-10268-4,"Nan Xu, Hassan Askari, Amir Khajepour",9783031102684,,2022
,Intelligent Transport Systems. From Research and Development to the Market Uptake,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-38822-5,"Ana Lúcia Martins, Joao Carlos Ferreira, Alexander Kocian",9783030388225,,2020
,Intelligent Tutoring Systems,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-49663-0,"Vivekanandan Kumar, Christos Troussas",9783030496630,,2020
,Intelligent Tutoring Systems: Proceedings of the Fourth ‘Colloque International sur la Programmation’ Paris,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-61327-7,"Claude Frasson, Gilles Gauthier, Alan Lesgold",9783540684602,1086,1996
,"Intelligent Tutoring Systems: Second International Conference, ITS '92 Montréal, Canada",Springer,Computer Science,http://dx.doi.org/10.1007/3-540-55606-0,"Claude Frasson, Gilles Gauthier, Gordon I. McCalla",9783540472544,608,1992
,Intelligent Wavelet Based Techniques for Advanced Multimedia Applications,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-31873-4,"Rajiv Singh, Swati Nigam, Amit Kumar Singh, Mohamed Elhoseny",9783030318734,,2020
,Interacting Bosons in Nuclei,Springer,Physics,http://dx.doi.org/10.1007/3-540-11572-2,"J. S. Dehesa, J. M. G. Gomez, J. Ros",9783540392965,161,1982
,Interacting with Information,Synthesis Collection of Technology (R0),Computing and Processing,https://doi.org/10.1007/978-3-031-02189-3,"Ann Blandford, Simon Attfield",9783031021893,,2010
,Interaction Effects in Factorial Analysis of Variance,SAGE Publications Ltd,Factorial Analysis,https://doi.org/10.4135/9781412984508,James Jaccard,9781412984508,,1998
,Interaction Effects in Linear and Generalized Linear Models,SAGE Publications Ltd,Linear models (Statistics),https://doi.org/10.4135/9781506365404,Robert Kaufman,9781506365404,,2019
,Interaction Effects in Logistic Regression,SAGE Publications Ltd,Logistic Regression,https://doi.org/10.4135/9781412984515,James Jaccard,9781412984515,,2001
,Interaction Effects in Multiple Regression,SAGE Publications Ltd,Multiple Regression,https://doi.org/10.4135/9781412984522,James Jaccard; Robert Turrisi,9781412984522,2nd ed.,2003
,Interaction for Visualization,Synthesis Collection of Technology (R0),"Computing and Processing, General Topics for Engineers",https://doi.org/10.1007/978-3-031-02600-3,Christian Tominski,9783031026003,,2015
,Interaction of Gases with Surfaces,Springer,Physics,http://dx.doi.org/10.1007/978-3-540-49107-1,"Alexander V. Bogdanov, German V. Dubrovskiy, Michael P. Krutikov, Dmitry V. Kulginov, Victor M. Strelchenya",9783540491071,25,1995
,Interactionism,SAGE Publications Ltd,Sociology,https://doi.org/10.4135/9781849209274,Paul Atkinson; William Housley,9781849209274,,2003
,Interactive Collaborative Robotics,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-60337-3,"Andrey Ronzhin, Gerhard Rigoll, Roman Meshcheryakov",9783030603373,,2020
,Interactive Distributed Multimedia Systems and Services,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-60938-5,"Berthold Butscher, Eckhard Moeller, Herwart Pusch",9783540497424,1045,1996
,Interactive Evaluation Practice,SAGE Publications Ltd,Interactive Evaluation,https://doi.org/10.4135/9781452269979,Jean A. King; Laurie Stevahn,9781452269979,,2013
