langcode,title,field_a2zpublisher,field_a2zsubject,field_a2zurl,field_author,field_isbn,field_vol,field_year
,Analysis Techniques for Information Security,Synthesis Collection of Technology (R0),Data Security,https://doi.org/10.1007/978-3-031-02334-7,"Anupam Datta, Somesh Jha, Ninghui Li, David Melski, Thomas Reps",9783031023347,,2010
,Analytic and Algebraic Dependence of Meromorphic Functions,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0058595,"Aldo Andreotti, Wilhelm Stoll",9783540369950,234,1971
,Analytic and Plurisubharmonic Functions,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0070695,Michel Hervé,9783540366546,198,1971
,Analytic Arithmetic in Algebraic Number Fields,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0076403,B. Z. Moroz,9783540399964,1205,1986
,Analytic Capacity and Measure,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0060912,John Garnett,9783540380030,297,1972
,Analytic Capacity and Rational Approximation,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0070657,Lawrence Zalcman,9783540358251,50,1968
,Analytic Functions Błażejewko 1982,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0073353,Julian Ławrynowicz,9783540386971,1039,1983
,Analytic Functions Kozubnik 1979,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0097253,Julian Ławrynowicz,9783540392477,798,1980
,Analytic Functions Smooth up to the Boundary,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0082810,Nikolai A. Shirokov,9783540391753,1312,1988
,Analytic Mapping and Geographic Databases,SAGE Publications Ltd,Geographic Databases,https://doi.org/10.4135/9781412983334,Robert S. Biggs; G. David Garson,9781412983334,,1992
,"Analytic Number Theory: Proceedings of a Conference Held at Temple University, Philadelphia",Springer,Mathematics,http://dx.doi.org/10.1007/BFb0096450,Marvin I. Knopp,9783540389538,899,1981
,"Analytic Number Theory: Proceedings of the Japanese-French Symposium held in Tokyo, Japan",Springer,Mathematics,http://dx.doi.org/10.1007/BFb0097119,"Kenji Nagasaka, Etienne Fouvry",9783540471479,1434,1990
,Analytic Theory of Continued Fractions,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0093301,"William B. Jones, W. J. Thron, Haakon Waadeland",9783540392767,932,1982
,Analytic Theory of Continued Fractions II,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0075930,Wolfgang J. Thron,9783540388173,1199,1986
,Analytic Theory of Continued Fractions III,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0096161,Lisa Jacobsen,9783540468202,1406,1989
,Analytic Theory of Differential Equations,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0060404,"P. F. Hsieh, A. W. J. Stoddart",9783540364542,183,1971
,Analytic Theory of the Harish-Chandra C-Function,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0064335,Leslie Cohn,9783540372981,429,1974
,Analytical and Stochastic Modelling Techniques and Applications,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-62885-7,"Marco Gribaudo, Eduard Sopin, Irina Kochetkova",9783030628857,,2020
,Analytical Methods for Network Congestion Control,Synthesis Collection of Technology (R0),"Artificial Intelligence, Coomunication Engineering",https://doi.org/10.1007/978-3-031-79275-5,Steven H. Low,9783031792755,,2017
,Analytical Methods for Solving Nonlinear Partial Differential Equations,Synthesis Collection of Technology (R0),"Mathematics, Analysis",https://doi.org/10.1007/978-3-031-17069-0,Daniel Arrigo,9783031170690,,2022
,Analytical Methods in Probability Theory,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0097305,"Daniel Dugué, Eugene Lukacs, Vijay K. Rohatgi",9783540367857,861,1981
,Analytical Performance Modeling for Computer Systems,Synthesis Collection of Technology (R0),"Mathematics, Computer Science",https://doi.org/10.1007/978-3-031-01795-7,Y.C. Tay,9783031017957,,2010
