langcode,title,field_a2zpublisher,field_a2zsubject,field_a2zurl,field_author,field_isbn,field_vol,field_year
,Bioinformatics and Biomedical Engineering,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-45385-5,"Ignacio Rojas, Olga Valenzuela, Fernando Rojas, Luis Javier Herrera, Francisco Ortuño",9783030453855,,2020
,Bioinformatics Research and Applications,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-57821-3,"Zhipeng Cai, Ion Mandoiu, Giri Narasimhan, Pavel Skums, Xuan Guo",9783030578213,,2020
,Bioinformatics: Sequence and Genome Analysis,CBS Publishers,Biotechnology,https://eduport-global.com/searchresults?option=catalog&keyword=9789388902892&tokenvalue=&type=quick,Mount,9789388902892,2nd ed.,2020
,Bio-inspired Computing: Theories and Applications,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-981-15-3415-7,"Linqiang Pan, Jing Liang, Boyang Qu",9789811534157,,2020
,Bio-inspired Computing: Theories and Applications,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-981-15-3425-6,"Linqiang Pan, Jing Liang, Boyang Qu",9789811534256,,2020
,Bio-inspired Information and Communication Technologies,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-57115-3,"Yifan Chen, Tadashi Nakano, Lin Lin, Mohammad Upal Mahfuz, Weisi Guo",9783030571153,,2020
,Bioinspired Optimization Methods and Their Applications,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-63710-1,"Bogdan Filipič, Edmondo Minisci, Massimiliano Vasile",9783030637101,,2020
,Bioinstrumentation,Synthesis Collection of Technology (R0),"Biophysics, Biomedical Engineering",https://doi.org/10.1007/978-3-031-01616-5,John Enderle,9783031016165,,2006
,Biologic Foundations for Skeletal Tissue Engineering,Synthesis Collection of Technology (R0),Bioengineering,https://doi.org/10.1007/978-3-031-02583-9,"Ericka Bueno, Julie Glowacki",9783031025839,,2011
,Biological Nanostructures and Applications of Nanostructures in Biology,Springer US,"Life Sciences, Biophysics
Engineering, General
Imaging / Radiology",http://link.springer.com/10.1007/b112184,"Stroscio, Michael A.",9780306486289,,2004
